target_icd,rank,prs_icd,auc
E78,9,F03,0.5248471544154246
E78,10,I70,0.5216755627529497
F03,1,F10,0.6059589819119189
F03,2,F32,0.5995521296196742
F03,3,F31,0.5922644851347645
F03,4,J44,0.5863259057980436
F03,5,F41,0.5830682266714249
F03,6,F33,0.582200016110225
F03,7,M50,0.5773036397884953
F03,8,K57,0.575931736373106
F03,9,I12,0.5757998672471341
F03,10,I69,0.5690879186506687
F10,1,F10,0.5771338977954521
F10,2,F32,0.5515013160313317
F10,3,F33,0.5404999129158397
F10,4,F41,0.5375949852693591
F10,5,S82,0.530062641526893
F10,6,J44,0.5292471361084855
F10,7,F31,0.5289535846494964
F10,8,M51,0.5282729922613213
F10,9,F60,0.5279588862194253
F10,10,F17,0.5258133644700971
F17,1,F10,0.5731189165581316
F17,2,F32,0.5607810835449338
F17,3,M51,0.557895866102478
F17,4,J44,0.550836560785339
F17,5,E66,0.5507424021017553
F17,6,I71,0.5493912447865734
F17,7,M47,0.5490032926689251
F17,8,F33,0.5470333528979038
F17,9,I70,0.5468395654704077
F17,10,E11,0.5434154159643788
F31,1,F32,0.5888196847763424
F31,2,F33,0.5749406183262088
F31,3,F41,0.5638563373032166
F31,4,F10,0.562977622981107
F31,5,F60,0.5626887057592032
F31,6,F31,0.5611121771737194
F31,7,E66,0.5524648657744837
F31,8,M51,0.5492602273612404
F31,9,M47,0.5450430532112257
F31,10,M50,0.5418388203042025
F32,1,F32,0.5489649107158715
F32,2,F33,0.5460327063442242
F32,3,F41,0.5345179513141302
F32,4,M51,0.53348660127669
F32,5,E66,0.5333577132216888
F32,6,F10,0.5323679139568205
F32,7,M47,0.5296773807980647
F32,8,M50,0.5275841777594907
F32,9,I10,0.5271782850853364
F32,10,M19,0.5262144846836264
F33,1,F32,0.5476217982955266
F33,2,F33,0.5445481229964338
F33,3,F41,0.5342393293322352
F33,4,F10,0.5299624780072801
F33,5,M51,0.5294773815943481
F33,6,E66,0.528570107465919
F33,7,F60,0.528516118011517
F33,8,M47,0.5265827482462708
F33,9,M50,0.5249799375951006
F33,10,F31,0.5223642661275381
F41,1,F32,0.5480775552578164
F41,2,F33,0.5454855232632609
F41,3,F41,0.540156873796671
F41,4,F10,0.5347701105106679
F41,5,M51,0.5318583093149072
F41,6,M47,0.5311712753210334
F41,7,F60,0.5270101051979317
F41,8,M50,0.5265250912333491
F41,9,I10,0.5258359485458952
F41,10,E66,0.5237746061399048
F60,1,F32,0.5716088943403212
F60,2,F33,0.5647836150287868
F60,3,F60,0.5520621888884254
F60,4,F41,0.5499313201155821
F60,5,F10,0.5495829889204717
F60,6,M51,0.5460426088468452
F60,7,E66,0.544205003624815
F60,8,M47,0.53913668839626
F60,9,M19,0.5367033945630224
F60,10,F31,0.5364788733587762
G25,1,G25,0.5567942648591047
G25,2,M51,0.5284761788131597
G25,3,M47,0.5241789524183724
G25,4,M50,0.5234575313866278
G25,5,F33,0.5229951981447704
G25,6,F32,0.5228661248869023
G25,7,G43,0.5222567887821271
G25,8,G56,0.5192926346375942
G25,9,I10,0.5189992088344122
G25,10,M19,0.5182184697915332
G35,1,G35,0.5916682081742706
G35,2,J44,0.5276204896019132
G35,3,I48,0.5248166601075808
G35,4,K50,0.5232973519591959
G35,5,O26,0.5222598554008965
G35,6,J45,0.520552126000087
G35,7,M51,0.5202941749319333
G35,8,M96,0.5189537305243854
G35,9,F33,0.5185788806621946
G35,10,F32,0.5176619394381714
G43,1,G43,0.5650502221710816
G43,2,M51,0.5278970804873903
G43,3,F33,0.5264827497113269
G43,4,F32,0.5262044116375958
G43,5,M50,0.5244776165217685
G43,6,M47,0.522836525764902
G43,7,M19,0.5201125202926395
G43,8,F41,0.5178000782036893
G43,9,K57,0.5175830179223048
G43,10,G56,0.5158722927608782
G47,1,E66,0.5420609763402771
G47,2,I10,0.5274781041052065
G47,3,E11,0.5272175401488448
G47,4,M51,0.5255861655341124
G47,5,M47,0.5246452784187965
G47,6,F33,0.5241320563619037
G47,7,F32,0.5240631989191742
G47,8,M17,0.5239918868454314
G47,9,M19,0.5236213876733228
G47,10,M50,0.5213247446829655
G56,1,G56,0.561053646420573
G56,2,E66,0.5329977502984792
G56,3,M19,0.5313784558323923
G56,4,M47,0.5304354218421787
G56,5,M50,0.5281133417563987
G56,6,M51,0.5277243250308857
G56,7,M17,0.5274999010982493
G56,8,E11,0.5241160699958605
G56,9,I10,0.5188013976458401
G56,10,F32,0.5155073644220368
G58,1,G56,0.533948626658154
G58,2,M17,0.5338052362204265
G58,3,M51,0.533608261349275
G58,4,F32,0.5307925854202353
G58,5,M19,0.5307437811719401
G58,6,M50,0.5292380681569618
G58,7,M47,0.5283590253306398
G58,8,F60,0.5269243147634083
G58,9,S22,0.5262417760686205
G58,10,D51,0.5246596354141868
H33,1,H33,0.5539155908680323
H33,2,C34,0.5211690225966282
H33,3,K40,0.5206029625495793
H33,4,J43,0.5177521996211929
H33,5,E10,0.5172178142578744
H33,6,J44,0.5159530824457756
H33,7,M86,0.5152310384859751
H33,8,F17,0.5151097669756759
H33,9,N42,0.5146501239230954
H33,10,M06,0.5138185536873526
H40,1,H40,0.5778039599405932
H40,2,E11,0.5120861589735941
H40,3,K60,0.51004383152831
H40,4,G58,0.5099251178481392
H40,5,H33,0.5089831333724041
H40,6,K42,0.5081436842070055
H40,7,I69,0.5079765200363466
H40,8,E16,0.5078590124507208
H40,9,D24,0.5077784046115892
H40,10,E10,0.5077137604726139
I10,1,I10,0.6074588198893428
I10,2,I71,0.5624417789773438
I10,3,E66,0.5611069498398477
I10,4,E11,0.5586792952523123
I10,5,I48,0.5436953178381778
I10,6,I25,0.5435124920537552
I10,7,I50,0.5429270337158426
I10,8,I20,0.5426029802979274
I10,9,I70,0.5403412945741859
I10,10,I21,0.5369817897937925
I12,1,I10,0.5649078535658009
I12,2,E11,0.5625120194637524
I12,3,E66,0.5588233918331055
I12,4,I71,0.5490022503681916
I12,5,N18,0.5400500252871104
I12,6,I50,0.5396387949529047
I12,7,M17,0.5374835877517237
I12,8,I70,0.5341498468455796
I12,9,I25,0.533883476855941
I12,10,I20,0.5336247672762753
I20,1,I25,0.5602159589684527
I20,2,I20,0.5576658770209973
I20,3,I21,0.5523433282662017
I20,4,I10,0.5501448419574206
I20,5,I71,0.5391373986917102
I20,6,E11,0.5382941496393114
I20,7,E66,0.5348933626666886
I20,8,I50,0.5337452521523164
I20,9,F32,0.5327777626072309
I20,10,F33,0.531909176775754
I21,1,I25,0.5780708834710532
I21,2,I21,0.5744904817815332
I21,3,I20,0.5730430099692092
I21,4,I10,0.5626297675492329
I21,5,I71,0.5570147980163143
I21,6,E11,0.5526476854628755
I21,7,E66,0.5499986689895437
I21,8,I70,0.5483041851619517
I21,9,E78,0.5452907024271063
I21,10,I50,0.537096851351831
I25,1,I25,0.58252114673203
I25,2,I20,0.5791617765693453
I25,3,I21,0.575193215014081
I25,4,I71,0.5579870758782525
I25,5,I10,0.5557825384104843
I25,6,E78,0.5518326603828955
I25,7,I70,0.547765262537881
I25,8,E11,0.5448624983925312
I25,9,E66,0.5400416305166673
I25,10,I50,0.5361470198015488
I26,1,I26,0.596768340355688
I26,2,I80,0.5823997778178831
I26,3,E66,0.5446199852795399
I26,4,M17,0.5329509365082007
I26,5,I71,0.5298479584913852
I26,6,I87,0.5275968930914312
I26,7,I50,0.5271807466682609
I26,8,M51,0.5243794048928168
I26,9,I83,0.5230916646722935
I26,10,F60,0.5217181265762869
I27,1,E66,0.5568364775463767
I27,2,I50,0.5465627275961563
I27,3,I71,0.545250113419913
I27,4,M17,0.5432388075806762
I27,5,I10,0.5409048534434027
I27,6,G56,0.5356638139475974
I27,7,I48,0.5351281329016365
I27,8,E11,0.5348850648616248
I27,9,I70,0.5327209472648756
I27,10,M19,0.5301458465902448
I42,1,I50,0.5438584100468032
I42,2,I10,0.5400494411621203
I42,3,I71,0.5396439364672915
I42,4,E66,0.534945860128725
I42,5,I48,0.5345655516105269
I42,6,I42,0.534281638809445
I42,7,E11,0.5295016133923827
I42,8,M51,0.5276061747812816
I42,9,M17,0.5272604727229282
I42,10,F32,0.5269445237991995
I48,1,I48,0.6018494663278416
I48,2,I50,0.5506868424986708
I48,3,I71,0.5439052338219988
I48,4,I42,0.5410669360648966
I48,5,I10,0.540313143448058
I48,6,E66,0.5350914731218582
I48,7,I63,0.5280041654430742
I48,8,M17,0.526974502674346
I48,9,L97,0.525390114302255
I48,10,I25,0.5229981726589369
I50,1,E66,0.5658520050915503
I50,2,I10,0.5614245219982779
I50,3,I50,0.5575235411759177
I50,4,E11,0.5530451065880465
I50,5,I71,0.553003449151159
I50,6,M51,0.5426539373984022
I50,7,I48,0.5416348991696518
I50,8,M17,0.5397392505352311
I50,9,F32,0.5376497136147087
I50,10,F10,0.5371695636432979
I63,1,I10,0.551682228731514
I63,2,I71,0.5449618946643061
I63,3,E11,0.5319695225604687
I63,4,I20,0.5315428112904546
I63,5,I63,0.5303621903450892
I63,6,I69,0.5297086564603763
I63,7,I21,0.528190939720128
I63,8,I25,0.5278780331803304
I63,9,I70,0.5272119813252023
I63,10,E78,0.5266247339101954
I69,1,I71,0.5516336568294286
I69,2,I10,0.5487653166540117
I69,3,I63,0.5451214162547237
I69,4,I50,0.5418946615239407
I69,5,E66,0.5414064994751745
I69,6,E11,0.5402575185916075
I69,7,I21,0.5394260552784004
I69,8,I48,0.5390370517578047
I69,9,I20,0.53703899656411
I69,10,F32,0.5365575733163535
I70,1,I70,0.551090832986055
I70,2,I71,0.5497712164561209
I70,3,I25,0.5467422516491863
I70,4,I20,0.5451392239975167
I70,5,I10,0.5444885157908227
I70,6,I21,0.54015922049581
I70,7,E66,0.5396950838999462
I70,8,E11,0.5379333176501663
I70,9,E78,0.5365417146801782
I70,10,M51,0.5344094434547455
I71,1,I71,0.5489298424824609
I71,2,I48,0.5435240217936871
I71,3,I10,0.5332157104931013
I71,4,I83,0.5318095107187149
I71,5,M19,0.5293999932202508
I71,6,F33,0.5259607568277539
I71,7,G43,0.5250513943411087
I71,8,M17,0.5249919373001152
I71,9,I87,0.5243973546411277
I71,10,K80,0.5243410713700991
I72,1,I71,0.5441849063517853
I72,2,I10,0.5436653018602597
I72,3,I63,0.5421499904158247
I72,4,G43,0.5404219822335236
I72,5,M51,0.5366249908063455
I72,6,I48,0.5333637184050695
I72,7,S22,0.5284455874710133
I72,8,F32,0.5280618239277146
I72,9,I69,0.5274301896930113
I72,10,O03,0.5256497053965854
I80,1,I26,0.573516029642155
I80,2,I80,0.566406478390998
I80,3,I87,0.5489998085604694
I80,4,I83,0.5489496803701974
I80,5,E66,0.5394273252101964
I80,6,I71,0.5362150494580809
I80,7,F32,0.5288699468633616
I80,8,I50,0.5241857839599439
I80,9,I70,0.5240676264576832
I80,10,K57,0.5237403690094121
I83,1,I83,0.6004834893324495
I83,2,I87,0.5897805062713731
I83,3,E66,0.5272536244347498
