icd,auc
A04,0.534940090707075
A08,0.5690175582614861
A09,0.5458391399663691
A41,0.5756702194278197
A49,0.5681463915288412
A60,0.5688276924992327
A63,0.5646049553633952
A69,0.5349697883752498
B00,0.5311662756190146
B01,0.5552613288095297
B02,0.5232099386346227
B07,0.5078483384763386
B27,0.5795951559722278
B34,0.5361955138806183
B35,0.49994854531561556
B37,0.5353762361670298
B86,0.6036701206688458
B99,0.5699454946601006
C34,0.5776215036878019
C44,0.6057849540869457
C83,0.6373114343760515
C85,0.5712860900419572
C90,0.6109881636619756
C91,0.6172014794061245
D03,0.6257340954074091
D04,0.5991221194537246
D05,0.5622023030277828
D09,0.5380026723977063
D12,0.5383116667430643
D13,0.5771454582877632
D16,0.5889734412272165
D17,0.5410955907721888
D18,0.5048551642963999
D21,0.569020923444984
D22,0.5275910470903986
D23,0.5355203889210335
D24,0.5577682718348732
D25,0.5691216833775293
D27,0.6033999869503797
D31,0.5539839037507457
D32,0.5827331531210242
D33,0.5839266909405308
D35,0.5698509504159093
D36,0.5404168837883294
D47,0.5422714617229861
D50,0.556025265368698
D51,0.5775017265203004
D58,0.6110387081418603
D62,0.5539542245728506
D64,0.5116230709585236
D68,0.5983417757053859
D69,0.48997562864569416
D70,0.5372412731679223
D72,0.5447663798603244
D75,0.5285858093286793
D86,0.6058982607005716
E03,0.6152203846482532
E04,0.5545278618885907
E05,0.5842675464927699
E06,0.6263081228567656
E10,0.6135962786642178
E11,0.6309797742377292
E16,0.5657884361506528
E21,0.5758252366993274
E22,0.56657288935097
E23,0.5383125680419656
E27,0.5452657824469136
E28,0.5400681834436781
E29,0.5230402421874614
E34,0.5549458720042981
E66,0.5984820329579761
E73,0.5820224016183593
E78,0.5888152482422391
E83,0.5626286067608918
E86,0.5639802666243342
E87,0.5522773877872823
F02,0.6587661246797267
F03,0.6194454248002726
F05,0.6085520774582635
F06,0.5510386262746665
F10,0.5995434155325123
F11,0.6309925179563318
F12,0.595773105375386
F13,0.6405510229875255
F15,0.6374536257802363
F17,0.6215868696235455
F19,0.6134406812987021
F20,0.6299788749713029
F22,0.6068705127093064
F25,0.6243708527164669
F29,0.5909184006789789
F31,0.6160140706518336
F32,0.5485766377538959
F33,0.538903834599275
F34,0.5314041599377772
F39,0.5437642681049263
F40,0.5572262004122419
F41,0.5615877928140881
F42,0.544085426645728
F43,0.5571315774351131
F44,0.6172340144849647
F45,0.5576211142431554
F48,0.6245838822401222
F50,0.5839957883808464
F51,0.5288424215045701
F60,0.5894316082467042
F90,0.5497397621465949
F99,0.598395091401823
G20,0.5810381673079859
G24,0.5546139005391578
G25,0.557717876597704
G30,0.6598394967770924
G35,0.5952213516061591
G40,0.5621774250272862
G43,0.5693030583619176
G44,0.5387197589844827
G45,0.5540098604936107
G47,0.5461389877470797
G50,0.5612689487746708
G51,0.5641991327161163
G54,0.5676404837486346
G56,0.5748638833239091
G57,0.5416732060468403
G58,0.5551593850175114
G61,0.5971230347373088
G72,0.5830401380080515
G81,0.5687271507765547
G93,0.5409862400196627
G95,0.5614257494755869
G97,0.58513032263323
H00,0.5445118927625713
H01,0.5140938740958952
H02,0.5260979540018245
H04,0.5073048405501197
H05,0.5926534156050329
H10,0.5202386212845406
H11,0.540516447873009
H16,0.557751895223701
H18,0.5435234182640143
H20,0.6005981156465371
H25,0.517482926599459
H26,0.5113578688814316
H33,0.5596240238422385
H34,0.5223292461462985
H35,0.543712394223039
H40,0.5764690094208467
H43,0.5110635985972698
H46,0.5993135081453286
H47,0.5315402518664067
H49,0.6035948056443208
H50,0.5276512177956268
H52,0.49926452830072626
H53,0.5091840213540496
H54,0.531781082931784
H57,0.5182821359164392
H60,0.5290964939326874
H61,0.5073522405387302
H65,0.5390525837747318
H66,0.5321372943824023
H69,0.5176718101411523
H72,0.6095014092221758
H81,0.5172431579913157
H83,0.5703524626541396
H90,0.5185401789138641
H91,0.5072147936650366
H92,0.5281808138219031
H93,0.5217418229377454
I10,0.6154138734795359
I11,0.6003085923697857
I12,0.5894483229573683
I15,0.596351279214214
I20,0.5662412225424038
I21,0.5872630058053688
I25,0.598168707157836
I26,0.6198985002930743
I27,0.5689451060549233
I31,0.5547325925811949
I38,0.5874990390420123
I42,0.5690510006821753
I44,0.5319581719989833
I45,0.5397657449895219
I46,0.5844051156548337
I47,0.5528120530172486
I48,0.5965952413634876
I49,0.5377123834208536
I50,0.5834991903638472
I51,0.5477548499292088
