icd,auc
A04,0.5382482408595979
A08,0.5323856282992948
A09,0.5109670151176189
A41,0.5276613068929117
A49,0.5270671947998986
B00,0.5010175321751259
B02,0.5064524756290787
B07,0.5212461243144064
B34,0.5353353330997129
B35,0.5083557890178708
B37,0.5319741554211853
B99,0.5127261449451551
C34,0.5449408906757226
C44,0.592621925865647
C83,0.52812259033072
C85,0.5343049072483742
C90,0.5285760632086569
C91,0.620382477712647
D03,0.5534463406431313
D04,0.5555435400493492
D05,0.560198475837113
D09,0.5166144052659242
D12,0.5699639214691586
D13,0.5147505083482481
D16,0.4998370589574905
D17,0.5345349673438562
D18,0.5130771881214844
D21,0.5201500126951399
D22,0.5546247687225859
D23,0.5264798543096932
D24,0.5523692631998861
D25,0.5687810969327982
D27,0.5105704603597234
D32,0.5708799752538255
D33,0.5271639219239936
D35,0.5130049649556919
D36,0.5117824800930191
D47,0.5134362388625497
D50,0.531083171167931
D51,0.5639743064404921
D64,0.5265545006443798
D68,0.5357657492465177
D69,0.5203055036357891
D70,0.4990356737819898
D72,0.5202771620168559
D75,0.5396933112683042
D86,0.5865645124143865
E03,0.6238302182603297
E04,0.6289513456049736
E05,0.5762886498437657
E06,0.5779334507134263
E10,0.6061071157322118
E11,0.6436265919310294
E16,0.5791459611143553
E21,0.5633154224703997
E22,0.5228993649101714
E23,0.4973114368389578
E27,0.523255265767721
E28,0.5506220017087486
E66,0.594122082600479
E78,0.5826177553532118
E83,0.5215742980539035
E86,0.5349156160866406
E87,0.5364647575946897
F02,0.5424265678679504
F03,0.5630533177415771
F05,0.5372075919849408
F06,0.5324532824111303
F10,0.5668132081684697
F17,0.5637032548691341
F20,0.5614834872684524
F22,0.5533286955229991
F31,0.5417895824290594
F32,0.5606426226681891
F33,0.5525699085584415
F40,0.5426786509676318
F41,0.5540150507436398
F43,0.5795341879527476
F45,0.5369753862238881
F60,0.5865838530952331
G20,0.5006407581535721
G24,0.505651167319584
G25,0.5652596811329293
G30,0.6197927113495915
G35,0.5630500482592773
G40,0.5332944659329315
G43,0.5722326219321402
G44,0.5593153411172245
G45,0.5358729499133706
G47,0.5703867897886079
G50,0.5335433429360347
G51,0.5307197289707349
G54,0.5490912893468358
G56,0.5902069033664097
G57,0.5425429331687316
G58,0.5639393727802067
G61,0.501072292822627
G81,0.5438458431334393
G93,0.5290814063564656
G95,0.534781865235783
H00,0.5230646209263768
H01,0.5172022546197276
H02,0.5127729752257424
H04,0.5066150082755352
H05,0.5126117077562008
H10,0.5035365194199336
H11,0.5106251734629524
H16,0.5068024298295027
H18,0.5410958569247868
H20,0.501578748441781
H25,0.5070714141734529
H26,0.5386760489365287
H33,0.5518102824624593
H34,0.5082778261759621
H35,0.5432416007287553
H40,0.6085346538352421
H43,0.5235616238054779
H47,0.5136361306892452
H49,0.5122917392579115
H50,0.49509509885465086
H52,0.49807162003230326
H53,0.5288806580699739
H54,0.5169384943395199
H57,0.5137488638820449
H60,0.5420708204594453
H61,0.5174810879780557
H65,0.5406600677863969
H66,0.5411600991368072
H72,0.5636829347346857
H81,0.5300290843507107
H83,0.5215566015803282
H90,0.5146145932726579
H91,0.5342599252495162
H92,0.5255221852023735
H93,0.522341225858014
I10,0.606474624192266
I12,0.5632684223447688
I20,0.6012846207484509
I21,0.6095214293110225
I25,0.6038375080890004
I26,0.6090384725004225
I27,0.5555578322487656
I31,0.5147888902220282
I38,0.5204944121843906
I42,0.5591952526178331
I44,0.5367932615185876
I45,0.540504766439134
I46,0.5457837208046901
I47,0.5524930053430807
I48,0.6115843648765232
I49,0.5553758211266182
I50,0.5812102808984376
I51,0.5641468992347689
I60,0.51369853649929
I61,0.5064848487876288
I62,0.4929411699244029
I63,0.5601802994720895
I67,0.5424211630904349
I69,0.5618362731992568
I70,0.5947324985986772
I71,0.5595095542353185
I72,0.5592474303277584
I73,0.5631493855246157
I74,0.575700956482957
I80,0.6019154060754143
I82,0.5474669470946053
I83,0.6339842009805603
I85,0.5911548129954803
I86,0.5493782312933825
I87,0.5628242626544152
I89,0.5372630913308097
I95,0.5310023580643168
J00,0.5349800008337754
J02,0.5360038920534038
J03,0.5300790095552697
J06,0.5347435107415631
J12,0.5407885099553159
J15,0.5284539470260657
J22,0.5257657096836819
J30,0.5518549078228742
J31,0.5280072092147196
J32,0.5402171128587172
J33,0.6372064454448462
J34,0.5391965465709967
J35,0.5397617271667179
J38,0.5212664445632564
J40,0.5529175783181091
J42,0.5490715448758595
J43,0.5910954827027641
J44,0.5835176400349957
J45,0.5768297953293482
J47,0.5237014305908017
J69,0.523091887686191
J84,0.5640029214550561
J91,0.4996663909820816
J93,0.5214991841470344
J94,0.5206163127785384
K06,0.5057823987133923
K08,0.5126708286994406
K11,0.5159330720373483
K12,0.5208241206447282
K13,0.5101156439604055
K14,0.5218913384660434
K20,0.5411185851427986
K21,0.5459903777643492
K22,0.5420491906188406
K25,0.5250701059547037
K26,0.528635054484689
K29,0.5411334377672792
K30,0.5204127770509692
K31,0.5334225768832213
K35,0.5419435215379956
K40,0.593889943891374
K42,0.5908497735481223
K43,0.5727551603638822
K44,0.554912110684936
K46,0.5499887012949132
K50,0.6056334974510021
K51,0.5973600048525237
K52,0.533423085057832
K55,0.5251756357272978
K56,0.5155960295320282
K57,0.5830067540878889
K58,0.5487871805906245
K59,0.5338914065519464
K60,0.5560053143709384
K61,0.526371912539126
K62,0.532722039847027
K63,0.5541489068147413
K64,0.5308543826206455
K65,0.5250167154146752
K66,0.5252971370257687
K70,0.6167345990413914
K72,0.5594703018858332
K74,0.5964060264177911
K75,0.5712695685493684
K76,0.5651109901395439
K80,0.5747991162982534
K81,0.5582984354904109
K82,0.5267041581696897
K83,0.5388035641047415
K85,0.5440170447464959
K86,0.531660054829434
K90,0.5456936884757578
K91,0.525056832234356
K92,0.5277882627174448
L02,0.5386702087694801
L03,0.5410148494477718
L05,0.5571019525940315
L08,0.5317652357050782
L24,0.5161507691832031
L27,0.5023000892379441
L29,0.5311977981852946
L30,0.572140427917629
L40,0.6079478969882409
L43,0.5628382382971198
L50,0.5380507032577998
L53,0.5109024352929122
L57,0.5530934913537987
L60,0.5288081879045003
L71,0.5398034911862108
L72,0.5391952037367012
L73,0.5442146470246902
L81,0.5333145058402985
L82,0.5466222268197581
L84,0.4969936029115587
L85,0.5257661158733895
