icd,auc
A04,0.544933140831262
A08,0.5652037968558408
A09,0.5707658247917577
A41,0.5800558130736319
A49,0.566736160638383
A60,0.5870399716225237
A63,0.5889828792652276
A69,0.5080486128285643
B00,0.522702091606905
B01,0.5854620157154101
B02,0.5226717926423713
B07,0.529002135100551
B27,0.6559856161205702
B34,0.5362806528236991
B35,0.5035816176725976
B37,0.539198541351636
B86,0.6180835022952441
B99,0.5684748084101978
C34,0.6016348285301963
C44,0.6056135915603291
C83,0.6657118730412688
C85,0.5842777069012192
C90,0.6592204996882812
C91,0.6391665520681098
D03,0.6446573282253283
D04,0.5984761826048771
D05,0.5760002623370808
D09,0.5423515223541208
D12,0.5361741220311447
D13,0.5879089777975328
D16,0.6337402651204826
D17,0.5543227265802668
D18,0.49435244374926024
D21,0.5853330469441754
D22,0.5296826134879055
D23,0.5277937510505254
D24,0.5789744916632646
D25,0.5696480062005395
D27,0.6642507203720135
D31,0.5660757663926256
D32,0.6281958715577362
D33,0.6133357480531451
D35,0.5801060238752082
D36,0.5553457702737075
D47,0.5398801814898956
D50,0.5540646440942524
D51,0.5753786393319054
D58,0.5530960413643794
D62,0.5366343684895312
D64,0.5421694812759609
D68,0.6072706418928862
D69,0.5053742330087152
D70,0.5580435716982487
D72,0.5474929103073848
D75,0.5306431535470542
D86,0.6191021664970779
E03,0.613355385704372
E04,0.5559534178987078
E05,0.5851622407832152
E06,0.6267116876920212
E10,0.6154650580850917
E11,0.6313532208812668
E16,0.5652939866386675
E21,0.5691585834005375
E22,0.5840886170593448
E23,0.5482594753479294
E27,0.5482037479505034
E28,0.5488773344033109
E29,0.5235209959410307
E34,0.5561189431016859
E66,0.600349648778375
E73,0.5986274300051777
E78,0.5849326407273003
E83,0.5597007830427316
E86,0.5597521061664144
E87,0.5433020412377871
F02,0.6161935930396996
F03,0.6146385143203045
F05,0.5889473512759552
F06,0.5719911530892354
F10,0.5937898970313006
F11,0.6385952268706149
F12,0.5999364953692193
F13,0.6495111546645822
F15,0.6399291363511004
F17,0.6179402325263424
F19,0.6196945773049048
F20,0.6394443377508374
F22,0.623261287736757
F25,0.6337315881216855
F29,0.6120000718856052
F31,0.6156583754600075
F32,0.5501903051323642
F33,0.5465446694390068
F34,0.5320774507598993
F39,0.5452028646638847
F40,0.5618953457898208
F41,0.5591982323854477
F42,0.567380223130949
F43,0.5553686637870414
F44,0.6188649512119213
F45,0.5509461816687417
F48,0.6411515636433579
F50,0.5900814240300379
F51,0.5217643159499668
F60,0.5973513420637879
F90,0.5544003124123514
F99,0.6176749921125929
G20,0.5757236544279174
G24,0.5769850485239759
G25,0.5594183252444895
G30,0.6595408614975552
G35,0.6017546527315705
G40,0.5643449524606932
