icd,auc
A04,0.5347531491988579
A08,0.5230672027679554
A41,0.5277865077578164
A49,0.5305937112426655
B00,0.5006553825540846
B02,0.5082081917237329
B34,0.5337606214798314
B35,0.5072816624815332
B37,0.5343108190814174
B99,0.50636650914396
C34,0.5398588697143004
C44,0.5918258754689052
C83,0.5146481303674378
C85,0.514761683255621
C90,0.529782771804548
C91,0.5860254076202259
D04,0.5555435400493492
D05,0.5598646856675966
D09,0.5127748501503258
D12,0.5662236805376034
D13,0.5119222426939356
D16,0.501155962810356
D17,0.5257551224756201
D18,0.5103336454725506
D21,0.5108155715600641
D22,0.5510744161019531
D23,0.5261059382996013
D24,0.5396941367185814
D25,0.5599437264678142
D32,0.578335704073268
D33,0.5230470894605248
D36,0.5140632237426308
D47,0.5219593557021874
D50,0.5305427979371429
D51,0.5649064543136593
D64,0.5279516889222929
D68,0.5396795529721388
D69,0.5157484186466755
D70,0.495011985408904
D72,0.5247265601884215
D75,0.512796995184412
D86,0.5634423540726174
E03,0.6231928033205028
E04,0.6306251979403389
E05,0.5742351243866599
E06,0.5751179775345971
E10,0.5986842398115471
E11,0.643427253827364
E16,0.573545776125186
E21,0.5567117206570202
E23,0.5037586566317747
E27,0.5216978261849236
E28,0.5408677609306947
E66,0.5951873386762094
E78,0.581643319185499
E83,0.5222339127099263
E86,0.5350327598794214
E87,0.5376206584102964
F02,0.5386959328313797
F03,0.5719428335081015
F05,0.5464563093212436
F06,0.5364954592498681
F10,0.563716063508386
F17,0.5653930026743866
F20,0.5547421517336766
F22,0.5291736785544999
F31,0.5345437412760738
F32,0.560290332045057
F33,0.5483601576603143
F40,0.5363958725189301
F41,0.554778797458294
F43,0.5772261687970991
F45,0.5248457133439716
F60,0.5774622679737877
G24,0.517136959539507
G25,0.5668577422308423
G30,0.6136928998388815
G35,0.5738974806254643
G40,0.5314768911427222
G43,0.5707575858869095
G44,0.5601563391333927
G45,0.528621701900327
G47,0.5711449723970425
G50,0.511790961358555
G51,0.5186050761312492
G54,0.5303711498175551
G56,0.5895444527677115
G57,0.53202199047575
G58,0.5185406518765517
G61,0.5002102447242378
G81,0.5332937504070915
G93,0.5257742853125694
G95,0.534781865235783
H01,0.5158503585740948
H02,0.506061136285402
H04,0.5033180056319313
H10,0.486211138959482
H11,0.5093411725353915
H18,0.5410958569247868
H20,0.523936397006968
H25,0.5020144743821529
H26,0.5246121220089547
H33,0.5457883742657663
H34,0.49687810463179266
H40,0.6085244244107652
H43,0.5168216664620128
H47,0.5073073122421179
H49,0.5146421402649723
H50,0.5101398603930088
H52,0.5050481856053594
H53,0.5218972629021129
H54,0.5145060259252097
H57,0.5062199120325235
H60,0.5393750067515657
H65,0.5187618712315266
H66,0.5375565144384103
H72,0.5396294988546091
H81,0.5184940621819429
H83,0.5173284551182531
H90,0.5149671123404186
H91,0.5290002538815534
H92,0.5233487961071349
H93,0.5130759821203884
I10,0.6060809480768721
I12,0.5634922093900986
I20,0.595236919879461
I21,0.6082394094168166
I25,0.6038739683800556
I26,0.6068978803985862
I27,0.5600163698655635
I31,0.5034085410374919
I38,0.5033441442096521
I42,0.54574786656985
I44,0.5373173943651259
I45,0.5420186252960224
I46,0.5289740340735749
I47,0.5509811172156335
I48,0.6120200883707368
I49,0.5564422223502231
I50,0.5853926162355089
I51,0.5396996938339548
I60,0.5184410724528986
I61,0.5019776908416619
I62,0.48334419104848064
I63,0.5525287124599031
I67,0.5438992722843135
I69,0.5552169433724368
I70,0.5802039269350894
I71,0.5604898347752143
I72,0.5388008222829386
I73,0.5600247480345779
I74,0.5607869619462568
I80,0.5973398751423635
I82,0.5505363108040375
I83,0.6340112622532219
I85,0.5804256052739162
I86,0.5355107983785901
I87,0.56307697122915
I89,0.5362521201000022
I95,0.5329860222133398
J00,0.5042822481135569
J02,0.5340708300005463
J03,0.5286683059607894
J06,0.5386618255606589
J12,0.5342515794311922
J15,0.5320858388898118
J22,0.5215448415705427
J30,0.5480935069589463
J31,0.5259913484648497
