icd,auc
A04,0.5293736416103118
A08,0.5213836685208356
A09,0.5163950836959469
A41,0.5437885795346116
A49,0.5163741394302896
B00,0.5371834959930255
B02,0.5121414997481417
B07,0.5095719437768903
B34,0.538711201225731
B35,0.5115462814083498
B37,0.5270170847011876
B99,0.5276398634843711
C34,0.544527085583679
C44,0.5901882771234833
C83,0.5144421149984194
C85,0.5164723241846018
C90,0.5346131605486059
C91,0.6061676320230333
D03,0.5421409269177938
D04,0.5639219933401474
D05,0.5530039364035195
D09,0.5144797247779499
D12,0.5714570437466445
D13,0.5218600065789695
D16,0.5183157232689867
D17,0.5458462044009629
D18,0.49874071147088767
D21,0.5255577355878219
D22,0.5228538310341657
D23,0.5183927290424486
D24,0.5436364453908481
D25,0.5691889494510954
D27,0.5160966135698891
D32,0.550544240189702
D33,0.5153169679554791
D35,0.5045893762349821
D36,0.5217192588260623
D47,0.5215872974527536
D50,0.5311452728518491
D51,0.5535496819878757
D64,0.5073917217539502
D68,0.5425174073838842
D69,0.5015509052310051
D70,0.4833213459273667
D72,0.5050274695656692
D75,0.5084720774418913
D86,0.5499252601935546
E03,0.6287415971155452
E04,0.6155351353443713
E05,0.5773178461863891
E06,0.5721018714959873
E10,0.6095100853018112
E11,0.6307068722192959
E16,0.5529950956650246
E21,0.5754045310624911
E22,0.5139184841507329
E23,0.5110850263765042
E27,0.5188169707029394
E28,0.531171982606509
E66,0.5932950513974241
E78,0.5600466616201424
E83,0.5092597997012308
E86,0.5286708994320323
E87,0.5176780282935354
F02,0.529628545056474
F03,0.6044908388827236
F05,0.5435966030501121
F06,0.539846927974491
F10,0.5569657894832415
F17,0.5739432817490462
F20,0.5403987214473839
F22,0.5280821217270805
F31,0.5255490491292425
F32,0.5535035618842754
F33,0.5465128104397917
F40,0.5557882899274942
F41,0.548112129457079
F43,0.5680337087654672
F45,0.5419106602937187
F60,0.5680483504139464
G20,0.4996780457033437
G24,0.5316423487161497
G25,0.5567946807211259
G30,0.6444585896845493
G35,0.5709596312684092
G40,0.5277553223470954
G43,0.5649950837462205
G44,0.5530735829189902
G45,0.5293668050645965
G47,0.5608344660684411
G50,0.525638475449277
G51,0.5362077954854974
G54,0.530381607813479
G56,0.5631552668705613
G57,0.5272324967384492
G58,0.5607484689928836
G61,0.5262021051324608
G81,0.5531590578606598
G93,0.5184768575232576
G95,0.533307004385297
H00,0.5188865521054282
H01,0.5020492350382629
H02,0.510468254418274
H04,0.5079475213806761
H05,0.5242661523529151
H10,0.5107698684699528
H11,0.531174046560041
H16,0.5393967913775088
H18,0.5499444243162073
H20,0.5094476222023936
H25,0.513393247902058
H26,0.5151394562706327
H33,0.54705926039639
H34,0.5012791404007538
H35,0.5493731446441129
H40,0.6030064858151918
H43,0.508762705493681
H47,0.51129836865462
H49,0.528945027324123
H50,0.5111102720938508
H52,0.49518103795131185
H53,0.5086886355865593
H54,0.5085304419004775
H57,0.4916687740200749
H60,0.5324505182414673
H61,0.5130551504853283
H65,0.5214065838539691
H66,0.5290970840062227
H72,0.5335247172803925
H81,0.5157358356488381
H83,0.5258551011699706
H90,0.5102613569200988
H91,0.48647105810579977
H92,0.5219618049699873
H93,0.49984909044572245
I10,0.5877261185446224
I12,0.5526363404705107
I20,0.5979641631084652
I21,0.604856836876198
I25,0.5893673899568366
I26,0.602785684075137
I27,0.5443362063146937
I31,0.5147751001056237
I38,0.5360530504777358
I42,0.5451791269497229
I44,0.5453895900336637
I45,0.5252207879876398
I46,0.5424854652346353
I47,0.5311505055853742
I48,0.610073892192038
I49,0.514801771532879
I50,0.5914444464439996
I51,0.5221052854693389
I60,0.5263681145458032
I61,0.5159295602304156
I62,0.4998218673077116
I63,0.5614665526294003
I67,0.5309528677947504
I69,0.548682149365826
I70,0.5836490238903824
I71,0.5470110474683831
I72,0.5296694200391108
I73,0.5492611719113183
I74,0.584285787611826
I80,0.5936569405804132
I82,0.5458542868942589
I83,0.6228469934165389
I85,0.5738502809174102
I86,0.5268215835020422
I87,0.5449091426820374
I89,0.5179463236681666
I95,0.5398916186689361
J00,0.5343806186210251
J02,0.505700078197597
J03,0.5376265098918422
J06,0.5001377380386569
J12,0.5365236294169996
J15,0.53543534554052
J22,0.5332255128640844
J30,0.5312517774490259
J31,0.5047634194493835
J32,0.524548683355021
J33,0.620545919398086
J34,0.5320556259641246
J35,0.545437151044392
J38,0.5163586142599557
J40,0.5440708455573973
J42,0.5759253249338715
J43,0.5761707582986538
J44,0.586404765736766
J45,0.5711586175039306
J47,0.5327835698635065
J69,0.5312258292605166
J84,0.5687163556868972
J91,0.49830959664181895
J93,0.5047312686789022
J94,0.5167420795982061
K06,0.5045976394781587
K08,0.4964761022680995
K11,0.511818367724778
K12,0.5035013615126391
K13,0.5144955624694009
K14,0.5279660744825128
K20,0.5207467602441903
K21,0.5320378462929406
K22,0.535331181890386
K25,0.5296972507673303
K26,0.5253515674418134
K29,0.5309470736305592
K30,0.5279417015658644
K31,0.5233265628242665
K35,0.5492062508407244
K40,0.5788494015826183
K42,0.5921290602158489
K43,0.5676557829786766
K44,0.542572400657101
K46,0.5484742507015614
K50,0.6118484083528277
K51,0.5890372446700165
K52,0.5273416303862551
K55,0.5194546182525613
K56,0.5139510274044404
