icd,auc
A04,0.5232727248174117
A08,0.5356917976173056
A09,0.510873613497
A41,0.5386502955207033
A49,0.5202827669045899
B00,0.49345938703809833
B02,0.5055090356932033
B07,0.5193867648880405
B34,0.5389040779760942
B35,0.5040464952338473
B37,0.5337005659832399
B99,0.5214277307026985
C34,0.5536848932457605
C44,0.5928347140511886
C83,0.5168981951145036
C85,0.5265411429704665
C90,0.5417756204268197
C91,0.6107478953501135
D03,0.560985746199774
D04,0.5624439536164417
D05,0.5533872369510808
D09,0.5179260443820849
D12,0.5732553150960911
D13,0.517248945971549
D16,0.5046237562441401
D17,0.548173063917569
D18,0.5171000892700695
D21,0.5340805839280147
D22,0.528901071622308
D23,0.5113635972135574
D24,0.5471798593676882
D25,0.5768151316634161
D27,0.5217046052001835
D32,0.5786742631339129
D33,0.522732537027312
D35,0.5109026401397099
D36,0.5198430742401129
D47,0.5151718173458741
D50,0.5335375643581325
D51,0.569841695238652
D64,0.5146407403510836
D68,0.5357744192953702
D69,0.5088265743358562
D70,0.4991064639869764
D72,0.5172467655668318
D75,0.5213217322541772
D86,0.5543163004872299
E03,0.6299811355138728
E04,0.6162012438507944
E05,0.5781659292892734
E06,0.5738489710871527
E10,0.6156952207249269
E11,0.6309235911630651
E16,0.5641438853066438
E21,0.5695710872156204
E22,0.5137296364035592
E23,0.5018721446490049
E27,0.5166451742562728
E28,0.5815040997215419
E66,0.592714716046867
E78,0.5780251213706907
E83,0.5223640140611744
E86,0.5215703738516451
E87,0.5386965255290332
F02,0.5322938689559646
F03,0.6120420459498841
F05,0.5281843409831123
F06,0.5269538958345005
F10,0.5576266922504681
F17,0.5657600173911684
F20,0.5384210753164422
F22,0.540866740754628
F31,0.535118248764327
F32,0.5558749687196075
F33,0.5505890090694618
F40,0.5555548662602087
F41,0.5471577170353372
F43,0.5638337197570762
F45,0.5451166493836864
F60,0.5657130708165191
G20,0.5007774663226197
G24,0.5104681470574934
G25,0.5470165036968625
G30,0.6387477091541619
G35,0.5698465709681956
G40,0.5320663932805956
G43,0.5663387076398233
G44,0.5536624492324965
G45,0.5457684954442239
G47,0.578168470837819
G50,0.5360845861526093
G51,0.5297669323926015
G54,0.5253552652876846
G56,0.5889287278744066
G57,0.5451232274203847
G58,0.5477360231457946
G61,0.5152135282505907
G81,0.5535544631756107
G93,0.5132357214328047
G95,0.536920262435372
H00,0.5203354012657759
H01,0.5157464546241417
H02,0.5150669421846737
H04,0.5242852143301806
H05,0.5169902722414107
H10,0.5076297320036088
H11,0.5189137983665172
H16,0.5148025893060717
H18,0.5367456412890266
H20,0.5001340663199949
H25,0.5079864058661498
H26,0.5241476746518889
H33,0.5567045207419112
H34,0.499032640401509
H35,0.5536317377586083
H40,0.605130955461008
H43,0.5114847719141205
H47,0.5066186030744856
H49,0.5148666614037931
H50,0.509057376895871
H52,0.4987359759496309
H53,0.5114485990528487
H54,0.5144321176625224
H57,0.5142328207732695
H60,0.5563111724512482
H61,0.5063663661700907
H65,0.533198750715285
H66,0.5331834803847961
H72,0.560795356822704
H81,0.5301437942409842
H83,0.5196106565146943
H90,0.5016534608440674
H91,0.501804971891453
H92,0.5243120876420296
H93,0.5119907731437232
I10,0.6038932511914074
I12,0.5595046206458781
I20,0.605862050133388
I21,0.6058801465661547
I25,0.5904870029513691
I26,0.611323712355521
I27,0.5602147476029917
I31,0.5095627722775286
I38,0.5512685151223221
I42,0.5515577509615266
I44,0.545583062909616
I45,0.5448181106492119
I46,0.5434863835547245
I47,0.5469791855125256
I48,0.608352574678524
I49,0.5552910339069195
I50,0.5853392097100873
I51,0.5526161897787145
I60,0.5280708675550808
I61,0.5215754712798902
I62,0.4970693132599197
I63,0.5630464565415823
I67,0.5593195303840136
I69,0.5627508558730894
I70,0.5885132885357938
I71,0.5599274173905411
I72,0.559203599468849
I73,0.5545823997767425
I74,0.5837633339832531
I80,0.6008043770133387
I82,0.5502190364995774
I83,0.6257984988040095
I85,0.5856041494663087
I86,0.5363574379010132
I87,0.5532149677235775
I89,0.5277999454013019
I95,0.5410552943350168
J00,0.5402859543323763
J02,0.5231262446882393
J03,0.5251682020000022
J06,0.5174234616584884
J12,0.5384242056035661
J15,0.5188904843370699
J22,0.5294912189338294
J30,0.5558733697405897
J31,0.5236906301973685
J32,0.526914444063072
J33,0.6320882862817832
J34,0.5475762581020197
J35,0.5409604179876731
J38,0.5268277021311544
J40,0.54745435718534885
J42,0.5755664784525265
J43,0.5798832902022522
J44,0.5908624208927326
J45,0.580381067563866
J47,0.5311788865133941
J69,0.5249790306453187
J84,0.5661711999027195
J91,0.5093681929347688
J93,0.5135695209783937
J94,0.5350090740517008
K06,0.5067907940154961
K08,0.4969177379039173
K11,0.5152354552496478
K12,0.5103490949534245
K13,0.5093345147471428
K14,0.5312310768561901
K20,0.5285707955708367
K21,0.5451923453466241
K22,0.5370988532632383
K25,0.5247914453334107
K26,0.522119153753032
K29,0.544134412604725
K30,0.5259307614134515
K31,0.51634933419339
K35,0.555105945516883
K40,0.5797224050624287
K42,0.6004313748628475
K43,0.5673694818100138
K44,0.5431558117496967
K46,0.5431529194532226
K50,0.6134829293247132
K51,0.5860822217377532
K52,0.5194897756968558
K55,0.527617522068615
K56,0.5217389966560435
K57,0.5737182277192754
K58,0.5460694563277453
K59,0.5179004428086685
K60,0.5491502905318667
K61,0.5273263946266177
K62,0.5120941174996713
K63,0.5044502285531303
K64,0.5255583035237453
K65,0.5224131414039144
K66,0.5223787140489127
K70,0.6145846485565676
K72,0.5475100795358553
K74,0.5929634626952784
K75,0.5715426287831628
K76,0.5518192241503176
K80,0.5908189903468891
K81,0.5668699210172494
K82,0.5273875532511091
K83,0.5409782278312614
K85,0.5437333643728912
K86,0.5320855088106309
K90,0.539949853376629
K91,0.5208810207649269
K92,0.5220780237279292
L02,0.5379931408710662
L03,0.53315147720252
L05,0.5669601386100189
L08,0.5283253953417885
L24,0.5300395672751526
L27,0.5000938368076879
L29,0.5454529379093079
L30,0.5640329142362004
L40,0.611134915752716
L43,0.5439730271655425
L50,0.5526020048376132
L53,0.5055410574347254
L57,0.5504187274093646
L60,0.5211937128402644
L71,0.5187000270873383
L72,0.5360343586333625
L73,0.5451205516241306
L81,0.5208240332798488
L82,0.5347141365368226
L84,0.5021437445853543
L85,0.5287617571274215
L89,0.5269434818275562
L90,0.5383074951994329
L91,0.5110931108677376
L97,0.5703806381209525
L98,0.5333853796488759
M00,0.5520565646308807
M05,0.5788559937371938
M06,0.5337621742257457
M10,0.6253766311899669
M13,0.5467357497559235
M15,0.5566647714733693
M16,0.587698494079036
M17,0.590445989875066
M19,0.559340569786028
M23,0.5452534972686451
M31,0.5512376572394247
M32,0.5845285971198515
M35,0.5368586810749011
M40,0.527580272232212
M41,0.5322238906063876
M45,0.532460576767055
M47,0.5611718187366881
M50,0.5551602400806978
M51,0.5693633104584658
M66,0.5122900526161498
M70,0.5547880943043293
M71,0.5256243776637379
M72,0.5287518588084874
M75,0.5524492228439158
M76,0.5627403090722009
M77,0.5611610348818359
M79,0.5514249805036464
M81,0.5742836979484086
M84,0.5471949785923939
M86,0.5380267733847517
M87,0.5112096784429951
M94,0.5577334622900828
M96,0.5673034175675989
N12,0.5467661891215203
N13,0.5430069516908803
N18,0.5625490770160905
N19,0.5344470502970177
N20,0.599912884823782
N21,0.5645146681861558
N30,0.5203742004701335
N31,0.5315241601922974
N32,0.5079508903444742
N35,0.5166348070582091
N40,0.5763791926240651
N41,0.5745380340586451
N42,0.5786034993461121
N43,0.5360575430572637
N45,0.522101718166334
N48,0.5398732507293711
N50,0.5258981653891258
N60,0.5239104570386919
N61,0.5218201211864945
N62,0.595147598354716
N63,0.532244624922324
N64,0.49800274543090395
N72,0.5008982594836602
N73,0.530055153025616
N76,0.5259459391058865
N80,0.5422471865541538
N81,0.5874276482915154
N83,0.5405659032612841
N84,0.5096689486599709
N85,0.4875163317628252
N87,0.5133237729877038
N88,0.5056618057737448
N89,0.5162865962803643
N90,0.5012588421345588
N92,0.4862967982749672
N93,0.5122205473219
N94,0.5169851707132767
N97,0.45102587996610805
N99,0.5389837027845789
O02,0.4948252579076556
O03,0.4943395724481476
O13,0.5851006255385987
O20,0.48548513655234987
O26,0.5187575444470218
O34,0.5054788526039344
O36,0.5003134914070027
O48,0.5178928163243531
O99,0.5202249954690472
Q21,0.5198851853065757
Q61,0.5122088230940763
R33,0.5023562988056739
R41,0.5121274768202527
S02,0.5062245712473983
S12,0.5012828151642962
S22,0.5649391836875642
S32,0.5386684580419145
S42,0.5620992630142069
S52,0.5730756226434839
S62,0.5378398836104901
S72,0.5698450901126451
S82,0.5460808489119027
S92,0.544877274615829
W19,0.5061144523475987
