icd,auc
A04,0.5280763242340486
A08,0.5335930874624186
A09,0.5147286601707494
A41,0.54161903857813265
A49,0.5178656549870486
B00,0.5100950974675393
B02,0.5059347475823218
B07,0.5144906653997253
B34,0.5350009230573677
B35,0.5196105771549031
B37,0.5312228897455596
B99,0.5336453017552276
C34,0.5484627683835201
C44,0.5912984451616241
C83,0.5162408641537232
C85,0.5216082265910249
C90,0.5281439056569773
C91,0.6033455246503687
D03,0.551347867854248
D04,0.5640852886190036
D05,0.5551658787970244
D09,0.5183342555388679
D12,0.5716754957813727
D13,0.5135937292428385
D16,0.5005660630514565
D17,0.5431818120153445
D18,0.49414046491994257
D21,0.5236150963731323
D22,0.5277984524403047
D23,0.5181577368626041
D24,0.5449757155619865
D25,0.5754441975206406
D27,0.5232932608792302
D32,0.5554926755374049
D33,0.5322877718389688
D35,0.514710430337666
D36,0.5222263157851756
D47,0.5201524157678438
D50,0.5331497391401475
D51,0.5524722673130411
D64,0.5184953473293619
D68,0.5477669992974002
D69,0.5011499183201952
D70,0.48173348854657105
D72,0.5133119928385769
D75,0.5247999843134993
D86,0.5545882661494256
E03,0.6294460548733448
E04,0.6197841502459355
E05,0.5780693668872373
E06,0.5725310588723674
E10,0.6187686990673789
E11,0.6324229960381276
E16,0.5591589774735941
E21,0.574216889306065
E22,0.511523302880597
E23,0.5133482445035905
E27,0.5189771127920556
E28,0.557917975622927
E66,0.5925895239897639
E78,0.5773666269665526
E83,0.5235412437279096
E86,0.5275390295401671
E87,0.5235719731204216
F02,0.5044915714397803
F03,0.6040830442078292
F05,0.5472710288632293
F06,0.5333025900019852
F10,0.5528376524173287
F17,0.5703048644324153
F20,0.5399839004758398
F22,0.5363825954037832
F31,0.5287451665742915
F32,0.551260934039351
F33,0.5558841840242403
F40,0.5533526148954138
F41,0.5487130101540345
F43,0.5635217545600466
F45,0.5448591038913075
F60,0.5649640438699222
G20,0.5124839146283336
G24,0.5310171329021672
G25,0.5490368414060198
G30,0.6406332531321719
G35,0.5706516878320934
G40,0.5300091575622481
G43,0.5687123311333148
G44,0.5543849657421086
G45,0.5526126729066935
G47,0.5729658336692992
G50,0.5328219713982951
G51,0.5297599670141508
G54,0.5433995382385595
G56,0.5848441144818212
G57,0.522241384864986
G58,0.5365904774635732
G61,0.5229637329517492
G81,0.541205201253156
G93,0.5166795380467403
G95,0.5302798553803598
H00,0.5176505576208292
H01,0.5182432682496279
H02,0.513896654588853
H04,0.518113070886009
H05,0.5291104350302709
H10,0.5032244861810679
H11,0.5233632272654812
H16,0.5327269056816714
H18,0.5461158259002489
H20,0.5105341335624916
H25,0.508635311482781
H26,0.518389377851674
H33,0.5558665143452006
H34,0.49483356971527936
H35,0.5525448518498144
H40,0.6042694733811219
H43,0.4880255624031658
H47,0.5121243462958296
H49,0.5195575191951595
H50,0.515832868741307
H52,0.4916255179837156
H53,0.5008538511078329
H54,0.5089510377415862
H57,0.4984668293462722
H60,0.544532863209675
H61,0.5054031275650084
H65,0.5302456090513248
H66,0.5312280016570394
H72,0.5289966184650972
H81,0.5275728910191084
H83,0.5213987762395281
H90,0.504355277009913
H91,0.49350363389748414
H92,0.5213340457697725
H93,0.5110531237280921
I10,0.5975456133982273
I12,0.5582359900235758
I20,0.6008014798993209
I21,0.6057083313127335
I25,0.5903417315344391
I26,0.6123268100434683
I27,0.5446147307208405
I31,0.5158474735771383
I38,0.5422377358281941
I42,0.5461974222751804
I44,0.5557504502522368
I45,0.5225885643447166
I46,0.5492555954826223
I47,0.5401146057409842
I48,0.6100106548268482
I49,0.539236481137019
I50,0.5884040901413251
I51,0.5386494332938191
I60,0.5228374266146015
I61,0.5164227936310187
I62,0.49652090616032135
I63,0.5560686886148433
I67,0.5437697191572087
I69,0.5560034994628388
I70,0.5898007180401138
I71,0.5593644995947197
I72,0.5354653323113773
I73,0.5488740448193872
I74,0.5849272523935436
I80,0.598319750669044
I82,0.5475871651145727
I83,0.6260292024135132
I85,0.5812643120727916
I86,0.5376571727796559
I87,0.5481957488665995
I89,0.5268982830050227
I95,0.5411586237308629
J00,0.5310292926464958
J02,0.5085460977122298
J03,0.530913650988842
J06,0.5204756904025919
J12,0.5418549156163881
J15,0.5292549141981363
J22,0.5314146400780696
J30,0.5440210186675649
J31,0.4979048594820838
J32,0.5215722807458157
J33,0.6234662322207934
J34,0.5452302160163853
J35,0.5505152297464994
J38,0.5256045806679728
J40,0.5493242708950536
J42,0.5786272272305164
J43,0.5797685661773643
J44,0.5919922453483191
J45,0.58091792010163
J47,0.539292374249715
J69,0.5258081395742106
J84,0.5681581715445069
J91,0.509776601697333
J93,0.5013826306294696
J94,0.516470260992059
K06,0.4989632110407227
K08,0.49733200445260484
K11,0.5156776042264353
K12,0.5051534112930145
K13,0.5110854848620862
K14,0.5379055681116022
K20,0.5267996617740713
K21,0.5478940427852043
K22,0.538759451023404
K25,0.5367853968996339
K26,0.5151734874998162
K29,0.5371475924144429
K30,0.5262168929168357
K31,0.5061439316713707
K35,0.5552069632752898
K40,0.5793324794025652
K42,0.5972042950372949
K43,0.5649975757885205
K44,0.5431958046305271
K46,0.5539077473883313
K50,0.6128945594724202
K51,0.5892076467811777
K52,0.5204439250572469
K55,0.5275170945165804
K56,0.5165904903996541
K57,0.5737754037340922
K58,0.5411237753735479
K59,0.5214981200244164
K60,0.5499850920364342
K61,0.5424182860251074
K62,0.5150041786816113
K63,0.5074620536958604
K64,0.5290946559493783
K65,0.5182989539576031
K66,0.5156309731427869
K70,0.614425108770914
K72,0.5429894973311755
K74,0.5961166940168069
K75,0.5749727148441887
K76,0.5528800248919615
K80,0.5836751216943589
K81,0.5712051167817151
K82,0.5230869046184183
K83,0.534159235910772
K85,0.5436474963984338
K86,0.5338131625886404
K90,0.5569087910168307
K91,0.5161019935275006
K92,0.5294003765023343
L02,0.5374514016433147
L03,0.5245508276760528
L05,0.538170046375266
L08,0.5216400691891614
L24,0.5378708249625961
L27,0.5117382709786727
L29,0.5171217354026164
L30,0.5516625568892308
L40,0.611451054336281
L43,0.5437951745669202
L50,0.5516142109662159
L53,0.497308076206659
L57,0.550623921732085
L60,0.5145635777153387
L71,0.5355386229553051
L72,0.5261959499781728
L73,0.5384386779816088
L81,0.5162847739679463
L82,0.5166942675421964
L84,0.5090121634673175
L85,0.523646700605458
L89,0.5275038245653416
L90,0.5348787395338157
L91,0.5131238938431962
L97,0.5711313065405923
L98,0.5101475025855153
M00,0.5406528205037393
M05,0.5797588560749165
M06,0.5327286226156654
M10,0.622772942775677
M13,0.5347794086556604
M15,0.5545404262153536
M16,0.5910744807294526
M17,0.5825126313910212
M19,0.5354244218863001
M23,0.5430187203755306
M31,0.535943610551304
M32,0.5814382993125937
M35,0.5169149717682194
M40,0.5373688086520059
M41,0.5288719408978934
M45,0.5389159190920779
M47,0.5452572468691839
M50,0.5414355852024616
M51,0.5710652213821529
M66,0.5325026120899378
M70,0.5246123845482163
M71,0.5293197442396771
M72,0.524659815009007
M75,0.5406471852137147
M76,0.5250710539355596
M77,0.5350275031944579
M79,0.5392115135019053
M81,0.5735039283369922
M84,0.5430013163500927
M86,0.5396191241113389
M87,0.5031199594958544
M94,0.5505871316117519
M96,0.5670165705194713
N12,0.5466387331349853
N13,0.5416806292363812
N18,0.5690181089580828
N19,0.5261934349963635
N20,0.6005743877529536
N21,0.562433718341805
N30,0.5170468576227187
N31,0.5318006474834673
N32,0.5155400217710187
N35,0.5020690994892114
N40,0.5719935203229911
N41,0.5684630954730789
N42,0.5702413152030192
N43,0.5247563464327479
N45,0.5345992148028029
N48,0.527011756951918
N50,0.5297515798848121
N60,0.5146935776941852
N61,0.5341616401463387
N62,0.5988873858876328
N63,0.4990453279646413
N64,0.4981829791995468
N72,0.5214011021551714
N73,0.5306901750679666
N76,0.5199852914940701
N80,0.5459906937269967
N81,0.5880923139762022
N83,0.5383932476413276
N84,0.5139568556339547
N85,0.4929127241584381
N87,0.5154719788366415
N88,0.5004577480820048
N89,0.5050219909570177
N90,0.4973525274859618
N92,0.4924947563140863
N93,0.49898645238486755
N94,0.5079973666857387
N97,0.465052488279051
N99,0.5538718226420745
O02,0.47271124558908056
O03,0.4936180037380624
O13,0.5645941693391334
O20,0.48592500566805974
O26,0.5155257755800645
O34,0.49482751328223806
O36,0.5121341966839277
O48,0.5065587281608089
O99,0.49819823729891866
Q21,0.5090918762417435
Q61,0.5118957056061111
R33,0.5052417630927332
R41,0.5183713085988517
S02,0.5085212118722843
S12,0.4948980389484603
S22,0.5636685779473404
S32,0.5416851233255128
S42,0.5556963658983092
S52,0.5733047750995565
S62,0.5294895116125
S72,0.5672848069261168
S82,0.5489097293191137
S92,0.5425030612922259
W19,0.5231655745618043
