icd
A04
A40
B30
B35
B36
B95
C18
C34
C44
C50
C64
C67
C77
C80
C83
D05
D25
D32
D50
D51
D56
D62
D63
D68
D70
E10
E11
E26
E43
E51
E55
E72
E73
E78
E86
E87
G24
G50
G51
G72
H01
H10
H17
H20
H21
H25
H27
H34
H43
H46
H54
H60
H65
H66
H69
I10
I11
I12
I13
I15
I20
I21
I25
I26
I27
I31
I33
I34
I35
I43
I44
I46
I47
I48
I49
I50
I61
I63
I65
I69
I71
I73
I83
I85
I95
I99
J03
J15
J22
J35
J42
J43
J80
J96
K01
K02
K20
K21
K25
K26
K30
K35
K37
K40
K42
K43
K44
K50
K51
K56
K57
K58
K72
K73
K74
K80
K81
K85
L02
L21
L28
L40
L63
L70
L72
L80
L81
L82
L89
L93
L97
M00
M05
M10
M11
M15
M16
M19
M20
M32
M41
M43
M50
M51
M53
M66
M76
M80
M81
M86
M87
N04
N13
N14
N17
N18
N19
N30
N31
N34
N35
N41
N43
N45
N47
N62
N63
N76
N85
N87
N89
N91
N97
Q24
Q61
Q66
R04
R05
R09
R12
R14
R16
R20
R21
R22
R25
R26
R30
R32
R33
R35
R39
R42
R49
R52
R56
R61
R73
R74
R76
R79
R94
S05
S42
S72
