prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Middle 10%,60-65,10547,94,0.008912486963117474,D18
Middle 10%,65-70,8517,77,0.009040742045321123,D18
Middle 10%,70-75,209,2,0.009569377990430622,D18
Top 10%,40-45,3562,24,0.00673778775968557,D18
Top 10%,45-50,4914,39,0.007936507936507936,D18
Top 10%,50-55,5740,39,0.006794425087108014,D18
Top 10%,55-60,7470,69,0.009236947791164659,D18
Top 10%,60-65,10753,92,0.008555751883195387,D18
Top 10%,65-70,8551,68,0.007952286282306162,D18
Top 10%,70-75,224,1,0.004464285714285714,D18
Bottom 10%,40-45,3574,4,0.001119194180190263,D21
Bottom 10%,45-50,4674,9,0.0019255455712451862,D21
Bottom 10%,50-55,5728,13,0.0022695530726256985,D21
Bottom 10%,55-60,7486,20,0.0026716537536735237,D21
Bottom 10%,60-65,10776,24,0.0022271714922048997,D21
Bottom 10%,65-70,8750,12,0.0013714285714285714,D21
Bottom 10%,70-75,226,0,0,D21
Middle 10%,35-40,1,0,0,D21
Middle 10%,40-45,3673,5,0.001361285053090117,D21
Middle 10%,45-50,4905,14,0.002854230377166157,D21
Middle 10%,50-55,5863,12,0.0020467337540508272,D21
Middle 10%,55-60,7563,24,0.0031733439111463705,D21
Middle 10%,60-65,10481,17,0.0016219826352447285,D21
Middle 10%,65-70,8520,17,0.001995305164319249,D21
Middle 10%,70-75,207,0,0,D21
Top 10%,35-40,1,0,0,D21
Top 10%,40-45,3838,6,0.001563314226159458,D21
Top 10%,45-50,5015,17,0.003389830508474576,D21
Top 10%,50-55,6010,18,0.002995008319467554,D21
Top 10%,55-60,7442,19,0.002553077129803816,D21
Top 10%,60-65,10349,29,0.0028022031114117306,D21
Top 10%,65-70,8313,18,0.0021652832912306026,D21
Top 10%,70-75,246,2,0.008130081300813009,D21
Bottom 10%,35-40,1,0,0,D22
Bottom 10%,40-45,3834,66,0.017214397496087636,D22
Bottom 10%,45-50,5053,79,0.01563427666732634,D22
Bottom 10%,50-55,5971,94,0.01574275665717635,D22
Bottom 10%,55-60,7399,78,0.01054196513042303,D22
Bottom 10%,60-65,10389,133,0.01280200211762441,D22
Bottom 10%,65-70,8344,71,0.008509108341323107,D22
Bottom 10%,70-75,223,2,0.008968609865470852,D22
Middle 10%,35-40,1,0,0,D22
Middle 10%,40-45,3568,67,0.018778026905829595,D22
Middle 10%,45-50,4979,91,0.018276762402088774,D22
Middle 10%,50-55,5858,117,0.0199726869238648,D22
Middle 10%,55-60,7391,113,0.015288864835610878,D22
Middle 10%,60-65,10589,185,0.017470960430635566,D22
Middle 10%,65-70,8604,115,0.013365876336587633,D22
Middle 10%,70-75,223,1,0.004484304932735426,D22
Top 10%,40-45,3486,120,0.03442340791738382,D22
Top 10%,45-50,4738,159,0.03355846348670325,D22
Top 10%,50-55,5832,146,0.025034293552812073,D22
Top 10%,55-60,7523,187,0.02485710487837299,D22
Top 10%,60-65,10783,248,0.02299916535287026,D22
Top 10%,65-70,8623,181,0.020990374579612663,D22
Top 10%,70-75,229,8,0.034934497816593885,D22
Bottom 10%,35-40,1,0,0,D23
Bottom 10%,40-45,3562,40,0.011229646266142616,D23
Bottom 10%,45-50,4801,62,0.012913976254946885,D23
Bottom 10%,50-55,5825,82,0.01407725321888412,D23
Bottom 10%,55-60,7473,86,0.011508095811588384,D23
Bottom 10%,60-65,10640,148,0.013909774436090226,D23
Bottom 10%,65-70,8688,121,0.013927255985267036,D23
Bottom 10%,70-75,224,4,0.017857142857142856,D23
Middle 10%,35-40,1,0,0,D23
Middle 10%,40-45,3704,48,0.012958963282937365,D23
Middle 10%,45-50,4819,64,0.013280763643909526,D23
Middle 10%,50-55,5839,73,0.0125021407775304,D23
Middle 10%,55-60,7449,122,0.016378037320445696,D23
Middle 10%,60-65,10629,154,0.014488663091542007,D23
Middle 10%,65-70,8530,118,0.013833528722157092,D23
Middle 10%,70-75,242,2,0.008264462809917356,D23
Top 10%,40-45,3594,47,0.013077351140790205,D23
Top 10%,45-50,4837,70,0.01447178002894356,D23
Top 10%,50-55,5820,116,0.01993127147766323,D23
Top 10%,55-60,7567,121,0.015990485000660765,D23
Top 10%,60-65,10610,191,0.018001885014137606,D23
Top 10%,65-70,8555,170,0.019871420222092345,D23
Top 10%,70-75,231,7,0.030303030303030304,D23
Bottom 10%,40-45,2128,21,0.009868421052631578,D24
Bottom 10%,45-50,2715,15,0.0055248618784530384,D24
Bottom 10%,50-55,3344,32,0.009569377990430622,D24
Bottom 10%,55-60,4109,31,0.007544414699440253,D24
Bottom 10%,60-65,5706,29,0.005082369435681739,D24
Bottom 10%,65-70,4328,16,0.0036968576709796672,D24
Bottom 10%,70-75,113,0,0,D24
Middle 10%,40-45,2094,28,0.013371537726838587,D24
Middle 10%,45-50,2865,37,0.012914485165794066,D24
Middle 10%,50-55,3338,40,0.011983223487118035,D24
Middle 10%,55-60,4121,35,0.008493084202863382,D24
Middle 10%,60-65,5710,45,0.00788091068301226,D24
Middle 10%,65-70,4215,27,0.006405693950177936,D24
Middle 10%,70-75,99,1,0.010101010101010102,D24
Top 10%,40-45,2141,51,0.02382064455861747,D24
Top 10%,45-50,2717,79,0.029076186970923814,D24
Top 10%,50-55,3269,65,0.019883756500458857,D24
Top 10%,55-60,4100,48,0.011707317073170732,D24
Top 10%,60-65,5721,52,0.009089320048942492,D24
Top 10%,65-70,4393,30,0.0068290462098793536,D24
Top 10%,70-75,102,1,0.00980392156862745,D24
Bottom 10%,40-45,1950,114,0.05846153846153846,D25
Bottom 10%,45-50,2669,140,0.05245410266017235,D25
Bottom 10%,50-55,3292,168,0.05103280680437424,D25
Bottom 10%,55-60,4084,171,0.04187071498530852,D25
Bottom 10%,60-65,5992,200,0.03337783711615487,D25
Bottom 10%,65-70,4341,101,0.023266528449665976,D25
Bottom 10%,70-75,115,2,0.017391304347826087,D25
Middle 10%,40-45,2083,214,0.1027364378300528,D25
Middle 10%,45-50,2849,264,0.09266409266409266,D25
Middle 10%,50-55,3384,288,0.0851063829787234,D25
Middle 10%,55-60,4042,274,0.0677882236516576,D25
Middle 10%,60-65,5608,272,0.04850213980028531,D25
Middle 10%,65-70,4376,182,0.041590493601462525,D25
Middle 10%,70-75,100,4,0.04,D25
Top 10%,40-45,2273,341,0.15002199736031677,D25
Top 10%,45-50,2929,434,0.1481734380334585,D25
Top 10%,50-55,3370,464,0.13768545994065282,D25
Top 10%,55-60,4252,458,0.1077140169332079,D25
Top 10%,60-65,5460,399,0.07307692307692308,D25
Top 10%,65-70,4053,174,0.04293116210214656,D25
Top 10%,70-75,106,6,0.05660377358490566,D25
Bottom 10%,40-45,2048,19,0.00927734375,D27
Bottom 10%,45-50,2810,21,0.007473309608540925,D27
Bottom 10%,50-55,3363,32,0.00951531370799881,D27
Bottom 10%,55-60,4255,53,0.01245593419506463,D27
Bottom 10%,60-65,5533,53,0.00957889029459606,D27
Bottom 10%,65-70,4317,31,0.007180912670836229,D27
Bottom 10%,70-75,117,0,0,D27
Middle 10%,40-45,2064,23,0.011143410852713179,D27
Middle 10%,45-50,2797,40,0.014301036825169824,D27
Middle 10%,50-55,3321,28,0.008431195423065342,D27
Middle 10%,55-60,4069,50,0.012288031457360531,D27
Middle 10%,60-65,5776,60,0.01038781163434903,D27
Middle 10%,65-70,4319,51,0.0118082889557768,D27
Middle 10%,70-75,96,2,0.020833333333333332,D27
Top 10%,40-45,2081,35,0.016818837097549257,D27
Top 10%,45-50,2670,29,0.010861423220973783,D27
Top 10%,50-55,3428,41,0.011960326721120186,D27
Top 10%,55-60,4177,59,0.014124970074215945,D27
Top 10%,60-65,5727,58,0.010127466387288283,D27
Top 10%,65-70,4239,52,0.012267044114177872,D27
Top 10%,70-75,121,2,0.01652892561983471,D27
Bottom 10%,35-40,1,0,0,D32
Bottom 10%,40-45,3437,7,0.002036659877800407,D32
Bottom 10%,45-50,4794,4,8.343763037129745e-4,D32
Bottom 10%,50-55,5806,6,0.0010334137099552187,D32
Bottom 10%,55-60,7480,10,0.001336898395721925,D32
Bottom 10%,60-65,10786,13,0.0012052660856666049,D32
Bottom 10%,65-70,8698,20,0.002299379167624741,D32
Bottom 10%,70-75,212,1,0.0047169811320754715,D32
Middle 10%,40-45,3546,4,0.0011280315848843769,D32
Middle 10%,45-50,4882,7,0.0014338385907414993,D32
Middle 10%,50-55,5819,17,0.00292146416910122,D32
Middle 10%,55-60,7568,24,0.003171247357293869,D32
Middle 10%,60-65,10496,31,0.0029535060975609756,D32
Middle 10%,65-70,8685,38,0.004375359815774324,D32
Middle 10%,70-75,217,1,0.004608294930875576,D32
Top 10%,40-45,3935,11,0.0027954256670902162,D32
Top 10%,45-50,5153,14,0.0027168639627401514,D32
Top 10%,50-55,6096,26,0.00426509186351706,D32
Top 10%,55-60,7426,48,0.006463775922434689,D32
Top 10%,60-65,10224,56,0.005477308294209703,D32
Top 10%,65-70,8165,46,0.005633802816901409,D32
Top 10%,70-75,215,3,0.013953488372093023,D32
Bottom 10%,40-45,3601,6,0.0016662038322688142,D33
Bottom 10%,45-50,4830,7,0.0014492753623188406,D33
Bottom 10%,50-55,5834,8,0.0013712718546451835,D33
Bottom 10%,55-60,7480,7,9.358288770053476e-4,D33
Bottom 10%,60-65,10623,21,0.001976842699802316,D33
Bottom 10%,65-70,8628,11,0.0012749188687992583,D33
Bottom 10%,70-75,218,0,0,D33
Middle 10%,35-40,1,0,0,D33
Middle 10%,40-45,3622,1,2.760905577029266e-4,D33
Middle 10%,45-50,4830,7,0.0014492753623188406,D33
Middle 10%,50-55,5868,9,0.0015337423312883436,D33
Middle 10%,55-60,7573,11,0.0014525287204542453,D33
Middle 10%,60-65,10528,17,0.001614741641337386,D33
Middle 10%,65-70,8573,13,0.001516388662078619,D33
Middle 10%,70-75,218,0,0,D33
Top 10%,40-45,3677,3,8.158825129181398e-4,D33
Top 10%,45-50,4912,11,0.002239413680781759,D33
Top 10%,50-55,5899,12,0.0020342430920494998,D33
Top 10%,55-60,7411,13,0.0017541492376197544,D33
Top 10%,60-65,10577,25,0.0023636191736787367,D33
Top 10%,65-70,8509,20,0.002350452462098954,D33
Top 10%,70-75,229,2,0.008733624454148471,D33
Bottom 10%,40-45,3424,11,0.0032126168224299065,D35
Bottom 10%,45-50,4636,22,0.004745470232959448,D35
Bottom 10%,50-55,5756,26,0.0045170257123002084,D35
Bottom 10%,55-60,7459,43,0.005764847834830406,D35
Bottom 10%,60-65,10836,68,0.006275378368401624,D35
Bottom 10%,65-70,8880,50,0.00563063063063063,D35
Bottom 10%,70-75,223,0,0,D35
Middle 10%,35-40,1,0,0,D35
Middle 10%,40-45,3576,11,0.003076062639821029,D35
Middle 10%,45-50,4841,23,0.004751084486676307,D35
Middle 10%,50-55,5886,28,0.004757050628610262,D35
Middle 10%,55-60,7504,51,0.006796375266524521,D35
Middle 10%,60-65,10620,67,0.0063088512241054615,D35
Middle 10%,65-70,8568,50,0.005835667600373483,D35
Middle 10%,70-75,217,0,0,D35
Top 10%,35-40,1,0,0,D35
Top 10%,40-45,4352,26,0.0059742647058823525,D35
