prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,70-75,225,1,0.0044444444444444444,C90
Middle 10%,40-45,3628,1,2.756339581036384e-4,C90
Middle 10%,45-50,4904,10,0.0020391517128874386,C90
Middle 10%,50-55,5932,11,0.0018543492919757248,C90
Middle 10%,55-60,7457,26,0.0034866568325063697,C90
Middle 10%,60-65,10399,39,0.003750360611597269,C90
Middle 10%,65-70,8660,61,0.0070438799076212475,C90
Middle 10%,70-75,236,2,0.00847457627118644,C90
Top 10%,40-45,3533,6,0.0016982734220209455,C90
Top 10%,45-50,4897,8,0.0016336532570961813,C90
Top 10%,50-55,5827,12,0.0020593787540758536,C90
Top 10%,55-60,7566,29,0.003832936822627544,C90
Top 10%,60-65,10557,62,0.005872880553187459,C90
Top 10%,65-70,8611,66,0.0076646150272906746,C90
Top 10%,70-75,223,5,0.02242152466367713,C90
Bottom 10%,35-40,1,0,0,C91
Bottom 10%,40-45,3737,3,8.027829810008028e-4,C91
Bottom 10%,45-50,4917,7,0.0014236322961155175,C91
Bottom 10%,50-55,6015,9,0.0014962593516209476,C91
Bottom 10%,55-60,7344,13,0.001770152505446623,C91
Bottom 10%,60-65,10437,27,0.0025869502730669733,C91
Bottom 10%,65-70,8539,24,0.0028106335636491394,C91
Bottom 10%,70-75,224,0,0,C91
Middle 10%,40-45,3603,0,0,C91
Middle 10%,45-50,4911,4,8.144980655670943e-4,C91
Middle 10%,50-55,5899,11,0.0018647228343787084,C91
Middle 10%,55-60,7535,15,0.0019907100199071004,C91
Middle 10%,60-65,10610,54,0.005089538171536286,C91
Middle 10%,65-70,8422,41,0.004868202327238186,C91
Middle 10%,70-75,233,2,0.008583690987124463,C91
Top 10%,40-45,3560,8,0.0022471910112359553,C91
Top 10%,45-50,4799,14,0.0029172744321733697,C91
Top 10%,50-55,5857,24,0.00409766091855899,C91
Top 10%,55-60,7479,41,0.0054820163123412225,C91
Top 10%,60-65,10611,86,0.008104796908868155,C91
Top 10%,65-70,8661,99,0.0114305507447177,C91
Top 10%,70-75,247,0,0,C91
Bottom 10%,35-40,2,0,0,D03
Bottom 10%,40-45,3973,4,0.0010067958721369243,D03
Bottom 10%,45-50,5170,2,3.8684719535783365e-4,D03
Bottom 10%,50-55,6189,11,0.001777346905800614,D03
Bottom 10%,55-60,7204,24,0.003331482509716824,D03
Bottom 10%,60-65,10228,52,0.005084082909659757,D03
Bottom 10%,65-70,8241,30,0.0036403349108117948,D03
Bottom 10%,70-75,208,0,0,D03
Middle 10%,35-40,1,0,0,D03
Middle 10%,40-45,3602,8,0.002220988339811216,D03
Middle 10%,45-50,4889,8,0.0016363264471262017,D03
Middle 10%,50-55,5880,23,0.0039115646258503405,D03
Middle 10%,55-60,7445,23,0.0030893216924110143,D03
Middle 10%,60-65,10576,53,0.005011346444780636,D03
Middle 10%,65-70,8596,58,0.006747324336900884,D03
Middle 10%,70-75,224,1,0.004464285714285714,D03
Top 10%,35-40,1,0,0,D03
Top 10%,40-45,3584,9,0.0025111607142857145,D03
Top 10%,45-50,4824,20,0.0041459369817578775,D03
Top 10%,50-55,5770,21,0.003639514731369151,D03
Top 10%,55-60,7448,32,0.004296455424274973,D03
Top 10%,60-65,10777,74,0.006866474900250534,D03
Top 10%,65-70,8564,81,0.009458197104156936,D03
Top 10%,70-75,246,4,0.016260162601626018,D03
Bottom 10%,35-40,1,0,0,D04
Bottom 10%,40-45,3885,0,0,D04
Bottom 10%,45-50,5118,9,0.0017584994138335288,D04
Bottom 10%,50-55,6053,5,8.260366760284157e-4,D04
Bottom 10%,55-60,7404,21,0.0028363047001620746,D04
Bottom 10%,60-65,10199,47,0.004608294930875576,D04
Bottom 10%,65-70,8331,72,0.008642419877565718,D04
Bottom 10%,70-75,225,2,0.008888888888888889,D04
Middle 10%,40-45,3605,3,8.321775312066575e-4,D04
Middle 10%,45-50,4902,3,6.119951040391676e-4,D04
Middle 10%,50-55,5814,14,0.002407980736154111,D04
Middle 10%,55-60,7439,29,0.0038983734372899583,D04
Middle 10%,60-65,10620,66,0.0062146892655367235,D04
Middle 10%,65-70,8591,89,0.010359678733558374,D04
Middle 10%,70-75,242,3,0.012396694214876033,D04
Top 10%,40-45,3791,3,7.913479293062516e-4,D04
Top 10%,45-50,4932,6,0.0012165450121654502,D04
Top 10%,50-55,5905,20,0.003386960203217612,D04
Top 10%,55-60,7426,33,0.004443845946673849,D04
Top 10%,60-65,10489,80,0.007627037849175326,D04
Top 10%,65-70,8462,110,0.012999290947766485,D04
Top 10%,70-75,209,2,0.009569377990430622,D04
Bottom 10%,40-45,2011,15,0.007458975634012929,D05
Bottom 10%,45-50,2667,29,0.010873640794900637,D05
Bottom 10%,50-55,3278,28,0.008541793776693106,D05
Bottom 10%,55-60,4143,56,0.01351677528361091,D05
Bottom 10%,60-65,5824,83,0.014251373626373626,D05
Bottom 10%,65-70,4413,41,0.009290731928393383,D05
Bottom 10%,70-75,107,0,0,D05
Middle 10%,40-45,2081,24,0.011532916866890917,D05
Middle 10%,45-50,2824,43,0.015226628895184136,D05
Middle 10%,50-55,3300,59,0.01787878787878788,D05
Middle 10%,55-60,4044,72,0.017804154302670624,D05
Middle 10%,60-65,5791,117,0.020203764462096357,D05
Middle 10%,65-70,4296,71,0.016527001862197393,D05
Middle 10%,70-75,106,2,0.018867924528301886,D05
Top 10%,40-45,2129,54,0.025364020666979802,D05
Top 10%,45-50,2831,61,0.02154715648180855,D05
Top 10%,50-55,3426,87,0.025394045534150613,D05
Top 10%,55-60,4206,97,0.02306229196386115,D05
Top 10%,60-65,5521,142,0.0257199782648071,D05
Top 10%,65-70,4224,106,0.025094696969696968,D05
Top 10%,70-75,106,1,0.009433962264150943,D05
Bottom 10%,40-45,3569,0,0,D09
Bottom 10%,45-50,4900,0,0,D09
Bottom 10%,50-55,5853,3,5.125576627370579e-4,D09
Bottom 10%,55-60,7482,4,5.346164127238706e-4,D09
Bottom 10%,60-65,10634,19,0.001786721835621591,D09
Bottom 10%,65-70,8549,24,0.002807345888408001,D09
Bottom 10%,70-75,230,0,0,D09
Middle 10%,40-45,3586,2,5.577244841048522e-4,D09
Middle 10%,45-50,4948,1,2.021018593371059e-4,D09
Middle 10%,50-55,5847,3,5.13083632632119e-4,D09
Middle 10%,55-60,7441,13,0.0017470770057787931,D09
Middle 10%,60-65,10580,24,0.002268431001890359,D09
Middle 10%,65-70,8575,17,0.0019825072886297374,D09
Middle 10%,70-75,246,2,0.008130081300813009,D09
Top 10%,35-40,1,0,0,D09
Top 10%,40-45,3930,0,0,D09
Top 10%,45-50,5095,2,3.925417075564279e-4,D09
Top 10%,50-55,5989,9,0.001502755050926699,D09
Top 10%,55-60,7374,10,0.0013561160835367507,D09
Top 10%,60-65,10414,19,0.0018244670635682734,D09
Top 10%,65-70,8211,21,0.0025575447570332483,D09
Top 10%,70-75,201,0,0,D09
Bottom 10%,35-40,1,0,0,D12
Bottom 10%,40-45,3515,68,0.01934566145092461,D12
Bottom 10%,45-50,4748,165,0.03475147430497051,D12
Bottom 10%,50-55,5773,233,0.04036029793868006,D12
Bottom 10%,55-60,7605,386,0.050756081525312295,D12
Bottom 10%,60-65,10684,647,0.0605578435043055,D12
Bottom 10%,65-70,8669,562,0.06482869996539393,D12
Bottom 10%,70-75,222,11,0.04954954954954955,D12
Middle 10%,35-40,1,0,0,D12
Middle 10%,40-45,3682,133,0.03612167300380228,D12
Middle 10%,45-50,4888,281,0.05748772504091653,D12
Middle 10%,50-55,5726,379,0.0661893119105833,D12
