target_icd,rank,prs_icd,auc,method
E11,1,E11,0.6354404830521694,LDpred2
E11,2,E66,0.5819384732444021,LDpred2
E11,3,I10,0.5598373769201683,LDpred2
E11,4,O24,0.5572626112647845,LDpred2
E11,5,I71,0.5504333078791458,LDpred2
E11,6,I70,0.5452147887486583,LDpred2
E11,7,M79,0.5426403786315075,LDpred2
E11,8,I50,0.5414245793795125,LDpred2
E11,9,M17,0.5396169617815059,LDpred2
E11,10,M51,0.5395848480477736,LDpred2
E16,1,E11,0.5463485084093431,LDpred2
E16,2,E66,0.5457059121169986,LDpred2
E16,3,I10,0.5395877375187531,LDpred2
E16,4,M79,0.5381338892660342,LDpred2
E16,5,M47,0.5373855344708713,LDpred2
E16,6,M51,0.5372055360093415,LDpred2
E16,7,K59,0.5343671331085563,LDpred2
E16,8,F32,0.5339841050929052,LDpred2
E16,9,F39,0.5335361364391233,LDpred2
E16,10,I50,0.5324934138832594,LDpred2
E21,1,E21,0.5456740798933147,LDpred2
E21,2,E66,0.5313326838792884,LDpred2
E21,3,E11,0.5254658716300226,C+T
E21,4,D17,0.5242922147635698,LDpred2
E21,5,I71,0.5239667103846237,LDpred2
E21,6,I10,0.5230584844309468,C+T
E21,7,D12,0.5217512389030838,LDpred2
E21,8,I70,0.5217093730365678,LDpred2
E21,9,K22,0.5215861470468961,LDpred2
E21,10,D68,0.5211724048318274,LDpred2
E66,1,E66,0.6026742979097817,LDpred2
E66,2,E11,0.5584201201387192,LDpred2
E66,3,I10,0.5519198840987225,LDpred2
E66,4,M17,0.5507032856661747,LDpred2
E66,5,G56,0.5419726935211325,LDpred2
E66,6,I71,0.5409198382894895,LDpred2
E66,7,M79,0.5404232737641524,LDpred2
E66,8,I50,0.539915837511483,LDpred2
E66,9,I11,0.5352201183327362,LDpred2
E66,10,M19,0.5337310403669774,LDpred2
E78,1,E78,0.5819077111051673,LDpred2
E78,2,I25,0.5459320765972691,LDpred2
E78,3,I20,0.5432807442522454,LDpred2
E78,4,I21,0.5403739532566463,LDpred2
E78,5,E11,0.5399020511199455,LDpred2
E78,6,I10,0.5338820362280033,LDpred2
E78,7,I71,0.5288030422657364,LDpred2
E78,8,E66,0.5280165628182334,LDpred2
E78,9,R41,0.5262502585480834,lassosum2
E78,10,F03,0.5248471544154246,C+T
F03,1,F39,0.6102709141096934,LDpred2
F03,2,F10,0.6059589819119189,C+T
F03,3,H83,0.6003374714448652,LDpred2
F03,4,F32,0.5995521296196742,LDpred2
F03,5,F31,0.5922644851347645,LDpred2
F03,6,W19,0.592045748097203,lassosum2
F03,7,F06,0.5892467746500967,LDpred2
F03,8,J44,0.5863259057980436,C+T
F03,9,F41,0.5830682266714249,LDpred2
F03,10,F33,0.582200016110225,lassosum2
F10,1,F10,0.5771338977954521,LDpred2
F10,2,F39,0.5539873714181,LDpred2
F10,3,F32,0.5515013160313317,LDpred2
F10,4,F33,0.5404999129158397,LDpred2
F10,5,F19,0.5386367637927343,LDpred2
F10,6,F41,0.5375949852693591,LDpred2
F10,7,M79,0.5352438453688726,LDpred2
F10,8,F43,0.5344703774573845,LDpred2
F10,9,W19,0.5339943389186953,LDpred2
F10,10,F11,0.5316768403597602,LDpred2
F17,1,F10,0.5731189165581316,LDpred2
F17,2,M79,0.5615974649338943,LDpred2
F17,3,F32,0.5607810835449338,LDpred2
F17,4,F39,0.5606240159106608,LDpred2
F17,5,M51,0.557895866102478,LDpred2
F17,6,M75,0.5514056273844543,LDpred2
F17,7,J44,0.550836560785339,LDpred2
F17,8,E66,0.5507424021017553,LDpred2
F17,9,I71,0.5493912447865734,LDpred2
F17,10,F19,0.5490526872093305,LDpred2
F31,1,F39,0.5912752893118405,LDpred2
F31,2,F32,0.5888196847763424,LDpred2
F31,3,F33,0.5749406183262088,LDpred2
F31,4,F41,0.5638563373032166,LDpred2
F31,5,F10,0.562977622981107,LDpred2
F31,6,F60,0.5626887057592032,LDpred2
F31,7,F31,0.5611121771737194,LDpred2
F31,8,M79,0.5591648819913667,LDpred2
F31,9,F43,0.5588021749959823,LDpred2
F31,10,E66,0.5524648657744837,LDpred2
F32,1,F32,0.5489649107158715,LDpred2
F32,2,F39,0.5488850699287002,LDpred2
F32,3,F33,0.5460327063442242,LDpred2
F32,4,M79,0.5369557151708482,LDpred2
F32,5,F41,0.5345179513141302,LDpred2
F32,6,M51,0.53348660127669,LDpred2
F32,7,E66,0.5333577132216888,LDpred2
F32,8,F10,0.5323679139568205,LDpred2
F32,9,M47,0.5296773807980647,LDpred2
F32,10,M75,0.5294545289798821,LDpred2
F33,1,F39,0.547989880513956,LDpred2
F33,2,F32,0.5476217982955266,LDpred2
F33,3,F33,0.5445481229964338,LDpred2
F33,4,F41,0.5342393293322352,LDpred2
F33,5,M79,0.532653081908743,LDpred2
F33,6,F10,0.5299624780072801,LDpred2
F33,7,F34,0.5297576199615499,LDpred2
F33,8,G44,0.5295771828233898,LDpred2
F33,9,M51,0.5294773815943481,LDpred2
F33,10,E66,0.528570107465919,LDpred2
F41,1,F39,0.5485829969163687,LDpred2
F41,2,F32,0.5480775552578164,LDpred2
F41,3,F33,0.5454855232632609,LDpred2
F41,4,F41,0.540156873796671,LDpred2
F41,5,M79,0.5364176737046101,LDpred2
F41,6,F10,0.5347701105106679,LDpred2
F41,7,F43,0.5319845948975707,LDpred2
F41,8,M51,0.5318583093149072,LDpred2
F41,9,M47,0.5311712753210334,LDpred2
F41,10,F34,0.5285407191106744,LDpred2
F60,1,F39,0.5747004549601998,LDpred2
F60,2,F32,0.5716088943403212,LDpred2
F60,3,F33,0.5647836150287868,LDpred2
F60,4,F60,0.5520621888884254,LDpred2
F60,5,F41,0.5499313201155821,LDpred2
F60,6,F10,0.5495829889204717,LDpred2
F60,7,M51,0.5460426088468452,LDpred2
