target_icd,rank,prs_icd,auc,method
E11,1,E11,0.6395743046925597,LDpred2
E11,2,E66,0.5688179918951336,LDpred2
E11,3,I10,0.558021197018951,LDpred2
E11,4,O24,0.5565008896473579,LDpred2
E11,5,I71,0.5471687748894108,LDpred2
E11,6,I70,0.5441131797979425,LDpred2
E11,7,M79,0.5365531700801565,LDpred2
E11,8,I11,0.5345484976869433,LDpred2
E11,9,G56,0.534160249061072,LDpred2
E11,10,I25,0.5339034347989587,LDpred2
E16,1,E11,0.5857836927691092,LDpred2
E16,2,E66,0.5479875027110072,LDpred2
E16,3,I71,0.5430470240401645,LDpred2
E16,4,I70,0.5404072831643705,LDpred2
E16,5,M79,0.5356119198887981,LDpred2
E16,6,I10,0.5343769944852741,LDpred2
E16,7,O24,0.5338510261502377,LDpred2
E16,8,M75,0.530337182308395,LDpred2
E16,9,F39,0.5285638761762816,LDpred2
E16,10,E10,0.5278538588958052,LDpred2
E21,1,E21,0.5699370890028302,LDpred2
E21,2,I10,0.5259947575902879,LDpred2
E21,3,K43,0.5218498792530475,LDpred2
E21,4,I26,0.5217023014846289,C+T
E21,5,F60,0.5216738229433137,LDpred2
E21,6,H02,0.5210932144730724,LDpred2
E21,7,D12,0.5208753648800241,LDpred2
E21,8,M17,0.5205546901385855,lassosum2
E21,9,J35,0.5203033819873388,LDpred2
E21,10,I85,0.5201869838983436,C+T
E66,1,E66,0.5855367251227472,LDpred2
E66,2,M17,0.5537948418142725,LDpred2
E66,3,E11,0.5479346341022885,LDpred2
E66,4,I10,0.5448095216521607,LDpred2
E66,5,M79,0.5414189263507675,LDpred2
E66,6,M19,0.5404788141554397,LDpred2
E66,7,G56,0.5373959571909391,LDpred2
E66,8,I50,0.5351840372014944,LDpred2
E66,9,M51,0.5341185799369987,LDpred2
E66,10,M75,0.5334351365516377,LDpred2
E78,1,E78,0.5773700473314198,LDpred2
E78,2,I25,0.557038272027016,LDpred2
E78,3,I20,0.5559932642141054,LDpred2
E78,4,I21,0.5508130847541681,LDpred2
E78,5,I10,0.5493123300338628,LDpred2
E78,6,I71,0.5426687080491343,LDpred2
E78,7,E11,0.5404366776856696,LDpred2
E78,8,E66,0.5327545769015647,LDpred2
E78,9,I70,0.532180831080457,LDpred2
E78,10,I11,0.5275264789591041,LDpred2
F03,1,F02,0.5864533803001089,LDpred2
F03,2,R41,0.5837742461467283,lassosum2
F03,3,F05,0.5805383524771939,LDpred2
F03,4,F06,0.575395615359656,LDpred2
F03,5,F03,0.5741054446871064,lassosum2
F03,6,G30,0.551445270334287,lassosum2
F03,7,F22,0.548437702123549,C+T
F03,8,E78,0.5464460935526092,lassosum2
F03,9,I10,0.5442554432198792,lassosum2
F03,10,F10,0.5359445618856112,LDpred2
F10,1,F10,0.5618630885866256,LDpred2
F10,2,F39,0.5363826471943475,LDpred2
F10,3,W19,0.5342924455867728,LDpred2
F10,4,F32,0.5342475891830409,LDpred2
F10,5,F33,0.5296247860834606,LDpred2
F10,6,F13,0.5268584334330626,LDpred2
F10,7,F41,0.5248296467901181,LDpred2
F10,8,F34,0.5247778801515186,LDpred2
F10,9,F19,0.5235643241939729,LDpred2
F10,10,S82,0.5229822335593886,LDpred2
F17,1,F10,0.5443426142847756,LDpred2
F17,2,J44,0.5342858824424521,LDpred2
F17,3,F17,0.5341471881089086,LDpred2
F17,4,M79,0.531725943350643,LDpred2
F17,5,F32,0.5300977634498422,LDpred2
F17,6,M51,0.5297563539606208,LDpred2
F17,7,F39,0.529474204568949,LDpred2
F17,8,I71,0.529076223563706,LDpred2
F17,9,M75,0.5286314486753826,LDpred2
F17,10,E66,0.5280702732020328,LDpred2
F31,1,F39,0.5589623416671118,LDpred2
F31,2,F32,0.5536093165017129,LDpred2
F31,3,F31,0.5515246622768754,LDpred2
F31,4,F29,0.5505856990253366,LDpred2
F31,5,F33,0.5452010773688687,LDpred2
F31,6,F25,0.541221275145333,LDpred2
F31,7,F41,0.5399381118684828,LDpred2
F31,8,F20,0.5372774436565914,LDpred2
F31,9,F34,0.5311865032533237,LDpred2
F31,10,F99,0.5283999795168929,LDpred2
F32,1,F32,0.5521111239707753,LDpred2
F32,2,F39,0.5518461951009068,LDpred2
F32,3,F33,0.5499831100511884,LDpred2
F32,4,F41,0.5389938179571419,LDpred2
F32,5,M79,0.5328261412413277,LDpred2
F32,6,M51,0.5319810075400788,LDpred2
F32,7,F43,0.5314890823700213,LDpred2
F32,8,F10,0.5298758280404259,LDpred2
F32,9,F34,0.5291794446582145,LDpred2
F32,10,M47,0.5283618922085732,LDpred2
F33,1,F39,0.5581027436626603,LDpred2
F33,2,F32,0.5577912207881873,LDpred2
F33,3,F33,0.5542507803207196,LDpred2
F33,4,F41,0.5507912539554269,LDpred2
